You are using the default legacy behaviour of the <class 'transformers.models.t5.tokenization_t5.T5Tokenizer'>. This is expected, and simply means that the `legacy` (previous) behavior will be used so nothing changes for you. If you want to use the new behaviour, set `legacy=False`. This should only be set if you understand what it means, and thoroughly read the reason why this was added as explained in https://github.com/huggingface/transformers/pull/24565
Initializing t5-11b on cuda...
🚀 Enabling LoRA Fine-tuning...
trainable params: 20,054,016 || all params: 11,327,375,360 || trainable%: 0.1770
Loading data from data/raw/train_100k.jsonl...
Loaded 100000 samples.
Loading data from data/raw/valid.jsonl...
Loaded 500 samples.

Start Training: 100k | Effective Batch Size: 2 | AMP: bf16
/usr/local/lib/python3.10/dist-packages/apex/_autocast_utils.py:26: FutureWarning: `torch.cuda.amp.autocast_mode._cast(value, dtype)` is deprecated. Please use `torch.amp.autocast_mode._cast(value, 'cuda', dtype)` instead.
  return torch.cuda.amp.autocast_mode._cast(args, torch.get_autocast_gpu_dtype())
/usr/local/lib/python3.10/dist-packages/apex/normalization/fused_layer_norm.py:214: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast(enabled=False):
Epoch 0 | Batch 10600/50000 | Loss: 2.3906
Epoch 0 | Batch 10650/50000 | Loss: 2.3313
Epoch 0 | Batch 10700/50000 | Loss: 3.0153
Epoch 0 | Batch 10750/50000 | Loss: 2.4799
Epoch 0 | Batch 10800/50000 | Loss: 2.7535
Epoch 0 | Batch 10850/50000 | Loss: 3.1846
Epoch 0 | Batch 10900/50000 | Loss: 2.6391
Epoch 0 | Batch 10950/50000 | Loss: 2.3615
Epoch 0 | Batch 11000/50000 | Loss: 2.0693
Epoch 0 | Batch 11050/50000 | Loss: 2.7935
Epoch 0 | Batch 11100/50000 | Loss: 3.0332
Epoch 0 | Batch 11150/50000 | Loss: 2.8515
Epoch 0 | Batch 11200/50000 | Loss: 2.7387
Epoch 0 | Batch 11250/50000 | Loss: 1.9907
Epoch 0 | Batch 11300/50000 | Loss: 2.5399
Epoch 0 | Batch 11350/50000 | Loss: 2.7425
Epoch 0 | Batch 11400/50000 | Loss: 2.7061
Epoch 0 | Batch 11450/50000 | Loss: 3.2210
Epoch 0 | Batch 11500/50000 | Loss: 2.6790
Epoch 0 | Batch 11550/50000 | Loss: 2.0769
Epoch 0 | Batch 11600/50000 | Loss: 2.1189
Epoch 0 | Batch 11650/50000 | Loss: 2.7610
Epoch 0 | Batch 11700/50000 | Loss: 3.0485
Epoch 0 | Batch 11750/50000 | Loss: 3.3875
Epoch 0 | Batch 11800/50000 | Loss: 2.6339
Epoch 0 | Batch 11850/50000 | Loss: 2.7076
Epoch 0 | Batch 11900/50000 | Loss: 3.7264
Epoch 0 | Batch 11950/50000 | Loss: 2.9042
Epoch 0 | Batch 12000/50000 | Loss: 3.0939
Epoch 0 | Batch 12050/50000 | Loss: 2.8361
Epoch 0 | Batch 12100/50000 | Loss: 2.9030
Epoch 0 | Batch 12150/50000 | Loss: 3.4877
Epoch 0 | Batch 12200/50000 | Loss: 2.5746
Epoch 0 | Batch 12250/50000 | Loss: 3.6803
Epoch 0 | Batch 12300/50000 | Loss: 2.9116
Epoch 0 | Batch 12350/50000 | Loss: 2.3066
Epoch 0 | Batch 12400/50000 | Loss: 3.8094
Epoch 0 | Batch 12450/50000 | Loss: 2.5986
Epoch 0 | Batch 12500/50000 | Loss: 2.1247
Epoch 0 | Batch 12550/50000 | Loss: 2.8247
Epoch 0 | Batch 12600/50000 | Loss: 2.7071
Epoch 0 | Batch 12650/50000 | Loss: 3.3972
Epoch 0 | Batch 12700/50000 | Loss: 2.7298
Epoch 0 | Batch 12750/50000 | Loss: 2.9181
Epoch 0 | Batch 12800/50000 | Loss: 2.4754
Epoch 0 | Batch 12850/50000 | Loss: 2.8185
Epoch 0 | Batch 12900/50000 | Loss: 3.0402
Epoch 0 | Batch 12950/50000 | Loss: 3.3710
Epoch 0 | Batch 13000/50000 | Loss: 3.1500
Epoch 0 | Batch 13050/50000 | Loss: 2.0551
Epoch 0 | Batch 13100/50000 | Loss: 2.4739
Epoch 0 | Batch 13150/50000 | Loss: 3.1210
Epoch 0 | Batch 13200/50000 | Loss: 2.5271
Epoch 0 | Batch 13250/50000 | Loss: 3.0311
Epoch 0 | Batch 13300/50000 | Loss: 2.5951
Epoch 0 | Batch 13350/50000 | Loss: 1.1514
Epoch 0 | Batch 13400/50000 | Loss: 3.4246
Epoch 0 | Batch 13450/50000 | Loss: 2.4152
Epoch 0 | Batch 13500/50000 | Loss: 2.8096
Epoch 0 | Batch 13550/50000 | Loss: 2.6125
Epoch 0 | Batch 13600/50000 | Loss: 3.2035
Epoch 0 | Batch 13650/50000 | Loss: 2.4338
Epoch 0 | Batch 13700/50000 | Loss: 2.0103
Epoch 0 | Batch 13750/50000 | Loss: 3.8381
Epoch 0 | Batch 13800/50000 | Loss: 2.9804
Epoch 0 | Batch 13850/50000 | Loss: 2.5347
Epoch 0 | Batch 13900/50000 | Loss: 2.5199
Epoch 0 | Batch 13950/50000 | Loss: 2.7513
Epoch 0 | Batch 14000/50000 | Loss: 2.8628
Epoch 0 | Batch 14050/50000 | Loss: 2.5844
Epoch 0 | Batch 14100/50000 | Loss: 2.9397
Epoch 0 | Batch 14150/50000 | Loss: 2.8752
Epoch 0 | Batch 14200/50000 | Loss: 4.4148
Epoch 0 | Batch 14250/50000 | Loss: 2.8504
Epoch 0 | Batch 14300/50000 | Loss: 2.4696
Epoch 0 | Batch 14350/50000 | Loss: 2.9198
Epoch 0 | Batch 14400/50000 | Loss: 3.3067
Epoch 0 | Batch 14450/50000 | Loss: 1.8879
Epoch 0 | Batch 14500/50000 | Loss: 2.5816
Epoch 0 | Batch 14550/50000 | Loss: 1.8521
Epoch 0 | Batch 14600/50000 | Loss: 3.7937
Epoch 0 | Batch 14650/50000 | Loss: 2.6195
Epoch 0 | Batch 14700/50000 | Loss: 2.5867
Epoch 0 | Batch 14750/50000 | Loss: 2.8612
Epoch 0 | Batch 14800/50000 | Loss: 2.8126
Epoch 0 | Batch 14850/50000 | Loss: 2.5844
Epoch 0 | Batch 14900/50000 | Loss: 3.2483
Epoch 0 | Batch 14950/50000 | Loss: 2.8886
Epoch 0 | Batch 15000/50000 | Loss: 3.1216
Epoch 0 | Batch 15050/50000 | Loss: 2.5894
Epoch 0 | Batch 15100/50000 | Loss: 2.9077
Epoch 0 | Batch 15150/50000 | Loss: 2.4605
Epoch 0 | Batch 15200/50000 | Loss: 2.1539
Epoch 0 | Batch 15250/50000 | Loss: 2.1935
Epoch 0 | Batch 15300/50000 | Loss: 3.1165
Epoch 0 | Batch 15350/50000 | Loss: 3.0604
Epoch 0 | Batch 15400/50000 | Loss: 3.1773
Epoch 0 | Batch 15450/50000 | Loss: 2.9798
Epoch 0 | Batch 15500/50000 | Loss: 3.0912
Epoch 0 | Batch 15550/50000 | Loss: 2.8552
Epoch 0 | Batch 15600/50000 | Loss: 2.7738
Epoch 0 | Batch 15650/50000 | Loss: 2.8736
